timestamp,experiment_id,yolo_fire_conf,yolo_smoke_conf,fire_area_ratio,smoke_area_ratio,flame_flicker_hz,yolo_detected,vlm_invoked,vlm_confirmed,vlm_staleness_s,vlm_flame_conf,vlm_smoke_conf,vlm_smoke_darkness,vlm_flame_colour_index,vlm_gas_source_conf,vlm_liquid_source_conf,vlm_solid_source_conf,vlm_visual_conf,mq2_delta,mq2_rate,mq7_delta,mq7_rate,mq_co_ratio,flame_value,flame_present,temperature_c,humidity_pct,temperature_rate,fire_type,cfast_hrr_kw,ood_fuel
2026-04-01 08:10:30,OOD_0004,0.0,0.0,0.0,0.0,0.235,0,0,0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-8.673,0.0,-5.521,0.0,-1.1042,0.0132,0,31.0,57.0,0.0,unknown,0.0,electrical
2026-04-01 08:10:31,OOD_0004,0.0396,0.0,0.0,0.0243,0.155,0,0,0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-15.503,-6.83,8.599,14.12,1.7198,0.0,0,30.0,58.0,-1.0,unknown,0.0,electrical
2026-04-01 08:10:32,OOD_0004,0.0,0.0809,0.0,0.01,0.249,0,0,0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.697,27.2,-9.101,-17.7,-0.7781,0.0006,0,33.0,57.0,3.0,unknown,0.0,electrical
2026-04-01 08:10:33,OOD_0004,0.0,0.0416,0.0109,0.0,0.141,0,0,0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-7.013,-18.71,5.439,14.54,1.0878,0.0062,0,30.0,53.0,-3.0,unknown,0.0,electrical
2026-04-01 08:10:34,OOD_0004,0.0,0.0,0.0,0.0,0.086,0,0,0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.633,5.38,11.109,5.67,2.2218,0.0,0,30.0,56.0,0.0,unknown,0.0,electrical
2026-04-01 08:10:35,OOD_0004,0.0,0.036,0.0,0.0027,0.132,0,0,0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.393,0.24,5.989,-5.12,1.1978,0.0,0,32.0,56.0,2.0,unknown,0.0,electrical
2026-04-01 08:10:36,OOD_0004,0.0392,0.0,0.0,0.0259,0.343,0,0,0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.707,11.1,1.239,-4.75,0.1276,0.0573,0,31.0,53.0,-1.0,unknown,0.0,electrical
2026-04-01 08:10:37,OOD_0004,0.0297,0.0329,0.0214,0.0106,0.318,0,0,0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.917,-5.79,5.309,4.07,1.0618,0.0,0,29.0,55.0,-2.0,unknown,0.0,electrical
2026-04-01 08:10:38,OOD_0004,0.0544,0.0563,0.0,0.0033,0.139,0,0,0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.727,3.81,5.459,0.15,0.7065,0.0125,0,31.0,59.0,2.0,unknown,0.0,electrical
2026-04-01 08:10:39,OOD_0004,0.0,0.0009,0.0223,0.0037,0.151,0,0,0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.567,0.84,-7.591,-13.05,-0.8861,0.0,0,32.0,59.0,1.0,unknown,0.0,electrical
2026-04-01 08:10:40,OOD_0004,0.0,0.0,0.0074,0.0264,0.153,0,0,0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.827,-4.74,2.629,10.22,0.5258,0.0085,0,30.0,56.0,-2.0,unknown,0.0,electrical
2026-04-01 08:10:41,OOD_0004,0.0454,0.0,0.0219,0.0164,0.0,0,0,0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.013,-5.84,-5.651,-8.28,-1.1302,0.0,0,31.0,54.0,1.0,unknown,0.0,electrical
2026-04-01 08:10:42,OOD_0004,0.0,0.0,0.0077,0.0026,0.05,0,0,0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.917,10.93,-11.091,-5.44,-1.2438,0.0686,0,30.0,57.0,-1.0,unknown,0.0,electrical
2026-04-01 08:10:43,OOD_0004,0.0426,0.0,0.0068,0.0,0.116,0,0,0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.507,-2.41,4.229,15.32,0.6499,0.0514,0,30.0,56.0,0.0,unknown,0.0,electrical
2026-04-01 08:10:44,OOD_0004,0.1261,0.0307,0.0,0.0133,0.024,0,0,0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.847,-3.66,-4.011,-8.24,-0.8022,0.0,0,32.0,62.0,2.0,unknown,0.0,electrical
